CVE_LOC,Población de 15 años o más analfabeta,Población de 6 a 14 años que no asiste a la escuela,Población de 15 años y más con educación básica incompleta,Población sin derechohabiencia a servicios de salud,Viviendas con piso de tierra,Viviendas que no disponen de excusado o sanitario,Viviendas que no disponen de agua entubada de la red pública,Viviendas que no disponen de drenaje,Viviendas que no disponen de energía eléctrica,Viviendas que no disponen de lavadora,Viviendas que no disponen de refrigerador,IRS,GRADO_REZAGO,LUGAR_QUE_OCUPA_EN_EL_CONTEXTO_NACIONAL
090090092,"0,0","0,0","60,0","46,7","20,0","20,0","80,0","40,0","0,0","80,0","80,0","0,56165",Alto,24.161
090090095,"9,1","26,9","42,6","40,4","5,4","12,5","12,5","17,9","5,4","48,2","33,9","-0,20513",Medio,50.319
090090096,"8,3","0,0","25,0","38,9","0,0","0,0","100,0","0,0","20,0","100,0","100,0","0,36518",Medio,29.279
090090098,"0,0","0,0","36,4","51,4","0,0","0,0","100,0","11,1","0,0","77,8","44,4","-0,16906",Medio,48.620
090090099,"0,0","0,0","81,8","40,0","40,0","20,0","60,0","20,0","40,0","100,0","100,0","1,18788",Alto,12.976
090090101,"7,7","7,7","46,2","35,0","0,0","0,0","11,1","0,0","0,0","66,7","11,1","-0,58140",Bajo,72.223
090090103,"6,9","19,4","45,9","29,2","2,0","5,9","3,9","2,0","0,0","56,9","45,1","-0,35196",Bajo,57.966
090090104,"3,8","10,0","33,7","39,9","11,8","0,0","100,0","0,0","0,0","29,4","17,6","-0,47541",Bajo,65.317
090090105,"14,3","0,0","50,0","16,7","0,0","0,0","100,0","0,0","0,0","80,0","60,0","0,13216",Medio,36.445
090090109,"4,1","17,6","26,5","33,3","0,0","15,4","7,7","7,7","0,0","30,8","23,1","-0,70102",Bajo,80.508
090090112,"3,7","3,1","31,8","36,6","9,1","0,0","81,8","3,0","3,0","45,5","42,4","-0,34479",Bajo,57.589
090090113,"1,8","0,0","32,1","43,5","5,3","0,0","5,3","0,0","5,3","36,8","21,1","-0,83702",Bajo,89.706
090090115,"6,4","6,1","32,5","26,5","6,8","0,0","84,1","3,4","0,0","46,6","40,9","-0,32437",Bajo,56.404
090090116,"4,8","6,3","31,6","23,3","1,6","0,0","14,3","0,0","0,0","36,5","28,6","-0,76619",Bajo,84.960
090090117,"4,7","0,0","26,4","6,9","0,0","0,0","97,0","0,0","0,0","15,2","18,2","-0,73945",Bajo,83.126
090090120,"5,3","4,5","37,2","38,8","8,3","1,7","81,7","1,7","0,0","36,7","31,7","-0,41163",Bajo,61.363
090090126,"7,4","16,7","29,6","38,6","10,0","0,0","20,0","10,0","0,0","70,0","40,0","-0,31954",Bajo,56.149
090090129,"4,3","0,0","43,5","25,0","33,3","0,0","0,0","0,0","0,0","55,6","55,6","-0,28781",Bajo,54.443
090090131,"4,7","0,0","38,3","37,6","13,5","0,0","56,8","0,0","0,0","48,6","40,5","-0,38851",Bajo,60.056
