"LLAVE_AGEB","UNIVERSO_ACT_LEGISLATIVAS","UNIVERSO_AGRICULTURA","UNIVERSO_ALOJAMIENTO_ALIMENTOS_Y_BEBIDAS","UNIVERSO_COMERCIO_MAYOREO","UNIVERSO_COMERCIO_AL_POR_MENOR","UNIVERSO_CONSTRUCCION","UNIVERSO_CORPORATIVOS","UNIVERSO_ELECTRICIDAD_AGUA_Y_GAS","UNIVERSO_IND_MANOFACTURA","UNIVERSO_INF_MEDIOS_MASIVOS","UNIVERSO_MINERIA","UNIVERSO_SERVICIOS_EXCEPTO_GUBERNAMENTALES","UNIVERSO_SERVICIOS_CIENTIFICOS","UNIVERSO_SERVICIOS_EDUCACION","UNIVERSO_SERVICIOS_FINANCIEROS_Y_SEGUROS","UNIVERSO_SERVICIOS_INMOBILIARIOS_Y_ALQUILER","UNIVERSO_SERVICIOS_NEGOCIOS","UNIVERSO_SERVICIOS_RECREATIVOS","UNIVERSO_SERVICIOS_SALUD","UNIVERSO_TRANSPORTE_CORREOS_Y_ALMACENAMIENTO"
"1503300010258",2,0,41,7,113,0,0,0,18,0,0,51,2,9,3,1,4,2,17,2
"1503300010262",0,0,9,5,115,0,0,1,13,0,0,35,3,8,1,1,3,2,7,1
"1503300010277",3,0,48,11,172,0,0,0,19,0,0,60,2,12,10,6,5,4,18,0
"1503300010328",2,0,38,6,123,0,0,0,24,1,0,41,5,6,0,1,5,5,19,1
"1503300010332",2,0,32,4,132,0,0,0,13,1,0,48,3,4,3,1,1,4,12,1
"1503300010366",0,0,1,6,33,0,0,0,11,0,0,4,0,0,2,1,0,1,6,0
"1503300010370",0,0,6,0,19,0,0,1,5,0,0,15,1,4,0,0,1,1,3,0
"1503300010385",0,0,10,1,19,0,0,0,8,0,0,17,1,1,0,2,1,2,4,0
"150330001039A",0,0,4,1,18,0,0,0,5,0,0,18,0,6,0,0,0,0,3,0
"1503300010402",0,0,33,6,160,1,0,0,11,0,0,49,3,2,0,1,1,0,7,1
"1503300010417",0,0,34,1,131,1,0,0,14,0,0,29,6,7,0,2,3,4,11,0
"1503300010421",3,0,7,2,10,0,0,0,6,0,0,21,1,9,0,3,0,4,4,0
"1503300010436",2,0,19,6,87,0,0,0,21,0,0,63,3,5,0,3,3,1,10,0
"1503300010440",0,0,17,2,68,1,0,0,20,0,0,44,2,4,1,2,3,5,11,1
"1503300010455",1,0,11,3,72,1,0,0,18,0,0,30,6,5,1,1,3,0,8,0
"150330001046A",5,0,83,21,153,0,0,2,25,2,1,23,4,6,30,1,10,2,6,3
"1503300010474",0,0,21,1,63,0,0,0,16,0,0,36,4,6,0,4,1,2,4,1
"1503300010489",0,0,16,4,50,1,0,0,10,0,0,23,1,2,0,1,4,0,8,0
"1503300010493",0,0,22,4,46,1,0,0,8,0,0,29,2,2,1,1,1,0,6,0
"1503300010506",2,0,9,5,42,0,0,0,5,0,0,26,3,3,1,1,2,2,10,0
"1503300010510",3,0,47,5,189,0,0,0,20,1,0,44,2,17,5,4,7,4,17,0
"1503300010525",3,0,23,3,87,0,0,0,20,0,0,34,5,9,0,1,5,2,23,2
